,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effectiveness,efficiency,Unnamed: 31,cost_m,efficiency_m,effectiveness_m,ease of use_m,efficient_m,effective_m
110,Garden,141553,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/100598633,Homedepot,Amdro,100598633,100598633,Yes,2022-06-23T00:00:00,2022,6,25,Works great kills ants...,Works great kills ants,organic reviews,14.27,5,0,0,0,No,works great kills ants,2022-06-23,4,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
111,Garden,15139,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-08-13T00:00:00,2021,8,32,Get rid of my ants within the next day havent...,Get rid of my ants within the next day havent seen them since,organic reviews,14.47,5,0,0,0,No,get rid of my ants within the next day havent seen them since,2021-08-13,13,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
112,Garden,15128,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-07-27T00:00:00,2021,7,30,"I use Amdro all the time and it works great,...","I use Amdro all the time and it works great, however the ants this year are invasive and nothing Ive tried is getting rid of them.  It slows them down when I first put it down but within hours they are right back thick and heavy!",organic reviews,14.47,5,0,0,0,No,"i use amdro all the time and it works great, however the ants this year are invasive and nothing ive tried is getting rid of them.  it slows them down when i first put it down but within hours they are right back thick and heavy!",2021-07-27,47,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
113,Garden,2741,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-09-20T00:00:00,2021,9,38,"Followed directions, still have ants.",Followed directions; still have ants. No improvement. Didnt work.,organic reviews,14.47,1,0,0,0,No,followed directions; still have ants. no improvement. didnt work.,2021-09-20,9,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
114,Garden,15086,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-10-06T00:00:00,2021,10,40,Reliable Ant Control,"Ive purchased this for years, first when I was living in Minnesota then Tennessee, and this product never fails me. It kills the entire colony quickly, and keeps my home from being infested in the first place, so no need for indoor ant killers when I use it as perimeter defense.",organic reviews,14.47,5,0,0,0,No,"ive purchased this for years, first when i was living in minnesota then tennessee, and this product never fails me. it kills the entire colony quickly, and keeps my home from being infested in the first place, so no need for indoor ant killers when i use it as perimeter defense.",2021-10-06,51,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
115,Garden,150258,AMDRO Ant Killing Bait 4-Pk,https://www.walmart.com//ip/Amdro-Ant-Killer-Indoor-and-Outdoor-Bait-Stations-Multi-pack-4-Count/627169039?selected=true,Walmart,Amdro,627169039,953884416,Yes,2022-06-13T00:00:00,2022,6,24,Not worked at all for the ants!,"It didnt work at all. Ants walked by and didnot enter in it. I put 4 pieces in kitchen but nothing changed . I baked a cake at night and it was hot so I put it in microwave with an ant trap nearby. In the next morning, I was shocked with millions of ants in the cake. It was frustrating!So I returned it back.",organic reviews,3.22,1,0,0,0,No,"it didnt work at all. ants walked by and didnot enter in it. i put 4 pieces in kitchen but nothing changed . i baked a cake at night and it was hot so i put it in microwave with an ant trap nearby. in the next morning, i was shocked with millions of ants in the cake. it was frustrating!so i returned it back.",2022-06-13,65,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
116,Garden,22087,AMDRO Ant Killing Bait 4-Pk,http://www.homedepot.com/p/t/307855811,Homedepot,Amdro,307855811,307855811,Yes,2021-07-17T00:00:00,2021,7,28,works great!,[This review was collected as part of a promotion.] Worked great on ants in the kitchen. I had tried home made baits but it was getting messy and the ants were getting picky. This took care of the problem after a week.,syndicated reviews,2.97,5,0,0,0,Yes,[this review was collected as part of a promotion.] worked great on ants in the kitchen. i had tried home made baits but it was getting messy and the ants were getting picky. this took care of the problem after a week.,2021-07-17,42,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
117,Garden,19132,AMDRO Quick Kill Home Perimeter Insect Killer Granules 2lb,http://www.homedepot.com/p/t/305448975,Homedepot,Amdro,305448975,305448975,No,2021-10-05T00:00:00,2021,10,40,Does what the exterminator does at less than 1/10th the...,Does what the exterminator does at less than 1/10th the price!  I just dust the entire perimeter of the house once every three months.  I rarely see ants of any kind indoors anymore.,organic reviews,6.6,5,0,0,0,No,does what the exterminator does at less than 1/10th the price!  i just dust the entire perimeter of the house once every three months.  i rarely see ants of any kind indoors anymore.,2021-10-05,35,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
118,Garden,141767,"1 Gal. Quick Kill Carpenter Bee, Ant, and Termite Killer Ready-to-Use",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448789,305448729,Yes,2022-06-30T00:00:00,2022,6,26,We have a lot of carpenter bee in our backyard...,We have a lot of carpenter bee in our backyard and damaging our deck. This foam works amazing.,organic reviews,18.5,5,0,0,0,No,we have a lot of carpenter bee in our backyard and damaging our deck. this foam works amazing.,2022-06-30,18,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
119,Garden,140093,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-06-30T00:00:00,2022,6,26,Ant killer,This stuff really works!!,organic reviews,8.99,5,0,0,0,No,this stuff really works!!,2022-06-30,4,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
120,Garden,135611,AMDRO Quick Kill Lawn Insect Killer 10lb,https://www.lowes.com/pd/AMDRO-Quick-Kill-Outdoor-10-lb-Lawn-Insect-Control/999956666,Lowes,Amdro,999956666,999990210,Yes,2022-05-31T00:00:00,2022,5,22,waste of money,used 2 bags on a smaller than required area. a week before getting ready prior to a backyard slip and slide party. new ant hills still popped up daily.,organic reviews,9.48,1,0,0,0,No,used 2 bags on a smaller than required area. a week before getting ready prior to a backyard slip and slide party. new ant hills still popped up daily.,2022-05-31,29,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
121,Garden,17536,AMDRO Gopher Gasser 6-pack,http://www.homedepot.com/p/t/203031283,Homedepot,Amdro,203031283,203031283,No,2021-07-04T00:00:00,2021,7,26,Great product for a,[This review was collected as part of a promotion.] Great product for a good price. I want to explore more of the other item this bran has to offer.,syndicated reviews,7.91,5,0,0,0,Yes,[this review was collected as part of a promotion.] great product for a good price. i want to explore more of the other item this bran has to offer.,2021-07-04,29,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
122,Garden,150256,AMDRO Ant Killing Bait 4-Pk,https://www.walmart.com//ip/Amdro-Ant-Killer-Indoor-and-Outdoor-Bait-Stations-Multi-pack-4-Count/627169039?selected=true,Walmart,Amdro,627169039,953884416,Yes,2022-06-24T00:00:00,2022,6,25,Dont waste your money!,"Does NOT work for sugar/grease ants! Had 4 bait sets placed in path of ant line for 2 weeks and they didnt enter or pay attention to the traps. In fact, the ant population continued to grow. I even experimented opening one of the traps and placing a small amount of sugar on the bait and placed some ants onto it. Still did not work (ineffective at least on sugar ants). I ended up spraying w/Ortho ant spray to get rid of them.",organic reviews,3.22,1,0,0,0,No,"does not work for sugar/grease ants! had 4 bait sets placed in path of ant line for 2 weeks and they didnt enter or pay attention to the traps. in fact, the ant population continued to grow. i even experimented opening one of the traps and placing a small amount of sugar on the bait and placed some ants onto it. still did not work (ineffective at least on sugar ants). i ended up spraying w/ortho ant spray to get rid of them.",2022-06-24,83,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
123,Garden,68491,AMDRO Fire Ant Bait,https://www.homedepot.com/p/AMDRO-1-lb-Fire-Ant-Killer-Bait-100099070/100327315,Homedepot,Amdro,100327315,305448173,Yes,2021-11-16T00:00:00,2021,11,46,And they lived.. and kept moving and multiplying.   The Amdro didnt phase them.,Fire Ants Laughed at me,organic reviews,14.36,3,0,0,0,No,fire ants laughed at me,2021-11-16,5,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
124,Garden,3077,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-06-28T00:00:00,2021,6,26,Works,"Put this stuff down not expecting much as my yard was covered in ant hills. Within 72 hours they are all gone. Seriously, this stuff is amazing. Im stocking up in case any come back",organic reviews,14.47,5,0,0,0,No,"put this stuff down not expecting much as my yard was covered in ant hills. within 72 hours they are all gone. seriously, this stuff is amazing. im stocking up in case any come back",2021-06-28,35,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
125,Garden,5128,AMDRO Kills Fire Ants Yard Treatment Bait 5lb,https://www.amazon.com/dp/B00FN3GOX6,Amazon,Amdro,B00FN3GOX6,B00FN3GOX6,No,2021-10-30T00:00:00,2021,10,43,Works great. Easy to apply.,Easy application works great!,organic reviews,22.68,5,0,0,0,No,easy application works great!,2021-10-30,4,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
126,Garden,140149,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-06-02T00:00:00,2022,6,22,Great Product,This was my second order of this ant killer because it simply works! I sprinkle it on in the evening and traffic in my multiple ant subdivisions are greatly reduced the next day and complete ghost towns by day two. Its super easy to apply and there is no disgusting smell. And as I said it just plain works!,organic reviews,0.0,5,0,0,0,No,this was my second order of this ant killer because it simply works! i sprinkle it on in the evening and traffic in my multiple ant subdivisions are greatly reduced the next day and complete ghost towns by day two. its super easy to apply and there is no disgusting smell. and as i said it just plain works!,2022-06-02,59,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
127,Garden,4334,AMDRO Quick Kill Mosquito Bombs,https://www.amazon.com/dp/B07G1YXZ9Y,Amazon,Amdro,B07G1YXZ9Y,B07G1YXZ9Y,No,2021-07-20T00:00:00,2021,7,29,Excellent! We have had no problems with mosquitos during this unusually wet summer!,Used the product in fountains and saucers for pots! Very easy to use and non-toxic for pets and people!,organic reviews,5.99,5,0,0,0,No,used the product in fountains and saucers for pots! very easy to use and non-toxic for pets and people!,2021-07-20,19,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
128,Garden,130124,AMDRO Mouse Trap ,https://www.amazon.com/dp/B07L4B3B38,Amazon,Amdro,B07L4B3B38,B07L4B3B38,No,2022-05-15T00:00:00,2022,5,19,WORKS!!! Best trap ever! No mess to clean up!,"This is the best trap I have ever used to get mice. The Trap is easy to set, and no cleanup of blood or anything from the mice other than it being dead. No poisoning to worry about either.We use peanut butter as bait.We just ordered 5 more, living in the country you have the mice.Thank you for making a great trap!",organic reviews,6.98,5,0,0,0,No,"this is the best trap i have ever used to get mice. the trap is easy to set, and no cleanup of blood or anything from the mice other than it being dead. no poisoning to worry about either.we use peanut butter as bait.we just ordered 5 more, living in the country you have the mice.thank you for making a great trap!",2022-05-15,62,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
129,Garden,2936,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-07-07T00:00:00,2021,7,27,Easy to use,Keeps the bugs away,organic reviews,14.47,4,0,0,0,No,keeps the bugs away,2021-07-07,4,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
130,Garden,2834,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-06-08T00:00:00,2021,6,23,Worked great.,Poured it on some ant hills and they were all dead and gone within a couple days.,organic reviews,14.47,5,0,0,0,No,poured it on some ant hills and they were all dead and gone within a couple days.,2021-06-08,17,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
131,Garden,72026,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-01-26T00:00:00,2022,1,4,TLDR: THE solution for an ant problem,"Product works absolutely perfectly, I had ants in my yard with a very large colony spread from front to back yard of both red and black ants, after putting Amdro AntBlock around the perimeter of my property and onto the nest entrances, for the first 3 days we noticed increased ant activity as the poison is also a bait, This attracts the ants, But after 3 days the poison has made its way into the food supply for the anthill and ideally will kill its queen, causing the colony to collapse, After two weeks we no longer saw ANY ants, treatment lasts about one year as well, As with all pesticides or other household chemicals be sure to thoroughly read any and all information and warnings on the package before using",organic reviews,14.96,5,0,0,0,No,"product works absolutely perfectly, i had ants in my yard with a very large colony spread from front to back yard of both red and black ants, after putting amdro antblock around the perimeter of my property and onto the nest entrances, for the first 3 days we noticed increased ant activity as the poison is also a bait, this attracts the ants, but after 3 days the poison has made its way into the food supply for the anthill and ideally will kill its queen, causing the colony to collapse, after two weeks we no longer saw any ants, treatment lasts about one year as well, as with all pesticides or other household chemicals be sure to thoroughly read any and all information and warnings on the package before using",2022-01-26,131,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
132,Garden,56024,AMDRO Quick Kill Outdoor Insect Killer RTS 32oz,https://www.lowes.com/pd/AMDRO-Quick-Kill-Outdoor-Insect-Killer-32-fl-oz-Insect-Killer/999990202,Lowes,Amdro,999990202,999990202,No,2021-09-02T00:00:00,2021,9,35,ant power,We must have differ kind of ants in the south you have never heard of. I mixed 6oz per gallon and sprayed real heavy and next day sprayed again. they are still there even four days with no rain,organic reviews,8.37,1,0,0,0,No,we must have differ kind of ants in the south you have never heard of. i mixed 6oz per gallon and sprayed real heavy and next day sprayed again. they are still there even four days with no rain,2021-09-02,39,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
133,Garden,131651,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/100598633,Homedepot,Amdro,100598633,100598633,Yes,2022-05-14T00:00:00,2022,5,19,Easy to use.  I start early in April once...,Easy to use.  I start early in April once its warm. And then follow the directions for reapplication.  Never had an ant problem.  Hoorah!,organic reviews,14.27,5,0,0,0,No,easy to use.  i start early in april once its warm. and then follow the directions for reapplication.  never had an ant problem.  hoorah!,2022-05-14,27,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
134,Garden,15181,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-07-14T00:00:00,2021,7,28,I have bought two types of ant blocks. This one works much much much better than the other liquid...,"I have bought two types of ant blocks. This one works much much much better than the other liquid one. I spread it around my house, the next day all the ants were gone. Thank you very much for producing and selling this product!!!",organic reviews,14.47,5,0,0,0,No,"i have bought two types of ant blocks. this one works much much much better than the other liquid one. i spread it around my house, the next day all the ants were gone. thank you very much for producing and selling this product!!!",2021-07-14,44,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
135,Garden,3799,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-11-15T00:00:00,2021,11,46,Garbage,Didnt work at all. Complete waste of money-even used multiple times and followed directions to a T.,organic reviews,14.47,1,0,0,0,No,didnt work at all. complete waste of money-even used multiple times and followed directions to a t.,2021-11-15,17,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
136,Garden,15221,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-07-18T00:00:00,2021,7,28,Keeps the ants away!,[This review was collected as part of a promotion.] I get ants every year as spring starts so I was so excited to try this product. I didnt know how well it would work but I was very pleasantly surprised. We used it by our kitchen window and door and have not seen one any since! I am so happy I was given this product to test out and it worked to get rid of those nasty annoying ants that always try to sneak into my kitchen for a snack. Im guarded and ready now!,syndicated reviews,14.47,5,0,0,0,Yes,[this review was collected as part of a promotion.] i get ants every year as spring starts so i was so excited to try this product. i didnt know how well it would work but i was very pleasantly surprised. we used it by our kitchen window and door and have not seen one any since! i am so happy i was given this product to test out and it worked to get rid of those nasty annoying ants that always try to sneak into my kitchen for a snack. im guarded and ready now!,2021-07-18,95,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
137,Garden,14990,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-06-09T00:00:00,2021,6,23,"This proxy is very good, my husband sprinkle all around the house and in areas you can see the an...","This proxy is very good, my husband sprinkle all around the house and in areas you can see the ants within 24hours they were gone",organic reviews,14.47,5,0,0,0,No,"this proxy is very good, my husband sprinkle all around the house and in areas you can see the ants within 24hours they were gone",2021-06-09,25,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
138,Garden,67590,AMDRO Quick Kill Mosquito Bombs,https://www.walmart.com//ip/Amdro-Quick-Kill-Mosquito-Bombs-Larvicide-Treatment-6pk/858348984?selected=true,Walmart,Amdro,858348984,858348984,No,2021-06-16T00:00:00,2021,6,24,Failure waste of money,"Put one disk in a 5 gallon bucket and 5, 7 ,9 and 14daiys later the bucket had 50 or more mosquitoes large still in the water. This product is a failure and a waste of money",organic reviews,5.99,1,0,0,0,No,"put one disk in a 5 gallon bucket and 5, 7 ,9 and 14daiys later the bucket had 50 or more mosquitoes large still in the water. this product is a failure and a waste of money",2021-06-16,37,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
139,Garden,18797,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",http://www.homedepot.com/p/t/305448910,Homedepot,Amdro,305448910,305448729,Yes,2021-07-08T00:00:00,2021,7,27,This really worked. The carpenter bees were in the trim of the house. I could not see the entry h...,This really worked. The carpenter bees were in the trim of the house. I could not see the entry holes of where the bees were going. I just spayed this in the area and it foamed up. Worked great. No more bees.,organic reviews,8.96,5,0,0,0,No,this really worked. the carpenter bees were in the trim of the house. i could not see the entry holes of where the bees were going. i just spayed this in the area and it foamed up. worked great. no more bees.,2021-07-08,42,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
140,Garden,140148,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-06-02T00:00:00,2022,6,22,It works!!,Used for Ants outside. Before they came onside!,organic reviews,0.0,5,0,0,0,No,used for ants outside. before they came onside!,2022-06-02,8,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
141,Garden,77098,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/100598633,Homedepot,Amdro,100598633,100598633,Yes,2022-03-15T00:00:00,2022,3,11,The best I have seen.,"Every year I have problem ants, and every year this stuff handles it. I sprinkle the perimeter of my home and spot treat fire ant mounds. The bait platform ensures the ants kill themselves instead of having to wait for them to wander over a strip of poison they may avoid or might wash away.Ive had mixed results after rain. My best results were on the second sunny day after a rain.",organic reviews,15.97,5,0,0,0,No,"every year i have problem ants, and every year this stuff handles it. i sprinkle the perimeter of my home and spot treat fire ant mounds. the bait platform ensures the ants kill themselves instead of having to wait for them to wander over a strip of poison they may avoid or might wash away.ive had mixed results after rain. my best results were on the second sunny day after a rain.",2022-03-15,72,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
142,Garden,67576,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",https://www.walmart.com//ip/Amdro-Quick-Kill-Carpenter-Bee-Carpenter-Ant-Termite-Killer-Foam-18-ounces/716388154?selected=true,Walmart,Amdro,716388154,716388154,No,2021-06-06T00:00:00,2021,6,22,Foam,"[This review was collected as part of a promotion.] This product is a foam consistency, which can be useful and long lasting. I prefer sprays that dry quickly because of pets and children. I think this would take care of ants very well and would quickly kill on contact.",organic reviews,10.48,4,0,0,0,Yes,"[this review was collected as part of a promotion.] this product is a foam consistency, which can be useful and long lasting. i prefer sprays that dry quickly because of pets and children. i think this would take care of ants very well and would quickly kill on contact.",2021-06-06,49,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
143,Garden,72201,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448910,305448729,Yes,2022-01-06T00:00:00,2022,1,1,got to love boric acid.  death to la cockaroches!...,got to love boric acid.  death to la cockaroches! and termites!,organic reviews,10.33,5,0,0,0,No,got to love boric acid.  death to la cockaroches! and termites!,2022-01-06,12,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
144,Garden,132361,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Concentrate 32oz",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448729,305448729,Yes,2022-05-19T00:00:00,2022,5,20,Dont waste your money.,Doesnt work. Did not kill one carpenter bee. Waste of money!,organic reviews,13.82,1,0,0,0,No,doesnt work. did not kill one carpenter bee. waste of money!,2022-05-19,11,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
145,Garden,100213,1 lb. Fire Ant Killer Bait,https://www.homedepot.com/p/AMDRO-6-oz-Fire-Ant-Killer-Bait-100099058/305448173,Homedepot,Amdro,100327315,305448173,Yes,2022-04-19T00:00:00,2022,4,16,always a satisfied result,great product and price,organic reviews,14.36,5,0,0,0,No,great product and price,2022-04-19,4,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
146,Garden,140138,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-06-07T00:00:00,2022,6,23,Works great,Amdro works great gets rid of ants,organic reviews,8.99,5,0,0,0,No,amdro works great gets rid of ants,2022-06-07,7,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
147,Garden,15008,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-09-13T00:00:00,2021,9,37,Did nothing.  Literally nothing.,"This did exactly nothing to the ants.  Im about 5 miles East of DT Los Angeles, and we have tiny black ants.  They ignored this like it wasnt even there.  Honestly, this isnt necessarily any worse than most products Ive tried.  The ants here dont care about sweets or sugar, they want protein and fat, like pet food.  I had pretty good success with a similar type treatment about 7 or 8 years ago that you spread on and water in.  But I dont remember what it was!  I wish I knew, because this year the ants have come HARD.",organic reviews,14.47,1,0,0,0,No,"this did exactly nothing to the ants.  im about 5 miles east of dt los angeles, and we have tiny black ants.  they ignored this like it wasnt even there.  honestly, this isnt necessarily any worse than most products ive tried.  the ants here dont care about sweets or sugar, they want protein and fat, like pet food.  i had pretty good success with a similar type treatment about 7 or 8 years ago that you spread on and water in.  but i dont remember what it was!  i wish i knew, because this year the ants have come hard.",2021-09-13,107,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
148,Garden,70096,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-12-02T00:00:00,2021,12,48,Best ive found,Ive used this for years. Works and works FAST THE BEST,organic reviews,14.47,5,0,0,0,No,ive used this for years. works and works fast the best,2021-12-02,11,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
149,Garden,3493,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-08-31T00:00:00,2021,8,35,Mala inversin,No lo llevan las hormigas,organic reviews,14.47,1,0,0,0,No,no lo llevan las hormigas,2021-08-31,5,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
150,Garden,70093,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-12-02T00:00:00,2021,12,48,Great to kill ants,"I will definitely recommend this item, it is a must for ant invasion.",organic reviews,14.47,5,0,0,0,No,"i will definitely recommend this item, it is a must for ant invasion.",2021-12-02,13,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
151,Garden,55586,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.lowes.com/pd/AMDRO-Ant-Block-24-oz-Ant-Killer/1000044709,Lowes,Amdro,1000044709,1000044709,No,2021-09-02T00:00:00,2021,9,35,Works like a charm,"I was surprised at how quickly it got rid of the ants, highly recommend it!",organic reviews,9.47,5,0,0,1,No,"i was surprised at how quickly it got rid of the ants, highly recommend it!",2021-09-02,15,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
152,Garden,4255,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-09-03T00:00:00,2021,9,35,Fast Acting,Ive used item in the past. Easy to use and it takes care of the problem quickly.,organic reviews,14.47,5,0,0,0,No,ive used item in the past. easy to use and it takes care of the problem quickly.,2021-09-03,17,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
153,Garden,68623,AMDRO Ant Block Home Perimeter Ant Bait,https://www.homedepot.com/p/AMDRO-12-oz-Ant-Block-Home-Perimeter-Ant-Killer-Bait-100099307/305448482,Homedepot,Amdro,305448482,100598633,Yes,2021-07-29T00:00:00,2021,7,30,The ants ignored this stuff...,The ants ignored this stuff,organic reviews,8.62,1,0,0,0,No,the ants ignored this stuff,2021-07-29,5,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
154,Garden,3639,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-07-14T00:00:00,2021,7,28,Worked as expected,Put in my rocks around my deck to eliminate ants.,organic reviews,14.47,5,0,0,0,No,put in my rocks around my deck to eliminate ants.,2021-07-14,10,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
155,Garden,3892,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-06-06T00:00:00,2021,6,22,Wow !!!,This stuff is no joke. The ants came out all over the yard and stated taking the stuff back to there home. Dont see as much now,organic reviews,14.47,5,0,0,0,No,this stuff is no joke. the ants came out all over the yard and stated taking the stuff back to there home. dont see as much now,2021-06-06,27,,0.0,0.0,0.0,0.0,,0,-1.0,-1.0,0,0,0
